2025-11-06 05:03:14 | NOT FOUND | {"tracker_click_id":"{SUB_ID}","payout":"{COMMISSION}","status":"{STATE}"}
2025-11-06 05:05:36 | NOT FOUND | {"clickid":"8872563","payout":"3.50","status":"tEST"}
2025-11-06 05:06:44 | NOT FOUND | {"tracker_click_id":"8872563","payout":"3.50","status":"confirmed"}
2025-11-06 05:06:46 | NOT FOUND | {"tracker_click_id":"8872563","payout":"3.50","status":"confirmed"}
2025-11-07 04:42:58 | NOT FOUND | {"payout":"4.48","racker_click_id":"","status":"open"}
2025-11-07 04:42:58 | NOT FOUND | {"payout":"4.48","racker_click_id":"","status":"open"}
2025-11-07 04:42:58 | NOT FOUND | {"payout":"4.48","racker_click_id":"","status":"open"}
2025-11-07 04:43:00 | NOT FOUND | {"payout":"4.2","racker_click_id":"","status":"open"}
2025-11-07 10:33:49 | NOT FOUND | {"payout":"4.24","racker_click_id":"1251231231","status":"open"}
2025-11-07 20:12:41 | NOT FOUND | []
2025-11-07 20:13:03 | NOT FOUND | {"clickid":"8872563","payout":"3.50","status":"tEST"}
2025-11-08 04:28:08 | NOT FOUND | {"payout":"6.45463","racker_click_id":"","status":"open"}
2025-11-08 04:32:16 | NOT FOUND | {"payout":"4.2","racker_click_id":"","status":"open"}
2025-11-08 04:32:17 | NOT FOUND | {"payout":"4.2","racker_click_id":"","status":"open"}
2025-11-08 04:32:18 | NOT FOUND | {"payout":"4.2","racker_click_id":"","status":"open"}
2025-11-08 04:32:24 | NOT FOUND | {"payout":"2.94","racker_click_id":"","status":"open"}
2025-11-08 07:25:25 | NOT FOUND | {"tracker_click_id":"1","payout":"0","status":"test"}
2025-11-08 07:25:36 | NOT FOUND | {"tracker_click_id":"1","payout":"0","status":"test"}
2025-11-08 07:25:46 | NOT FOUND | []
2025-11-08 07:37:57 | NOT FOUND | []
2025-11-08 07:38:20 | NOT FOUND | []
2025-11-08 11:58:07 | NOT FOUND | []
2025-11-08 11:58:12 | NOT FOUND | []
2025-11-09 04:32:06 | NOT FOUND | {"payout":"2.94","racker_click_id":"","status":"open"}
2025-11-09 04:32:06 | NOT FOUND | {"payout":"2.94","racker_click_id":"","status":"open"}
2025-11-17 10:36:19 | NOT FOUND | {"payout":"4.2","racker_click_id":"","status":"open"}
2025-11-17 10:36:19 | NOT FOUND | {"payout":"4.2","racker_click_id":"","status":"open"}
2025-11-17 10:36:19 | NOT FOUND | {"payout":"4.2","racker_click_id":"","status":"open"}
2025-11-17 10:36:23 | NOT FOUND | {"payout":"2.94","racker_click_id":"","status":"open"}
2025-11-17 10:36:23 | NOT FOUND | {"payout":"0.4724993","racker_click_id":"","status":"open"}
2025-11-17 10:36:23 | NOT FOUND | {"payout":"0.3338314","racker_click_id":"","status":"open"}
2025-11-17 10:36:23 | NOT FOUND | {"payout":"0.354375","racker_click_id":"","status":"open"}
2025-11-17 10:36:23 | NOT FOUND | {"payout":"0.3800538","racker_click_id":"","status":"open"}
2025-11-17 10:36:24 | NOT FOUND | {"payout":"0.1643474","racker_click_id":"","status":"open"}
2025-11-17 10:36:24 | NOT FOUND | {"payout":"0.2362493","racker_click_id":"","status":"open"}
2025-11-17 10:36:24 | NOT FOUND | {"payout":"0.3338314","racker_click_id":"","status":"open"}
2025-11-17 10:36:24 | NOT FOUND | {"payout":"1.3558692","racker_click_id":"","status":"open"}
2025-11-17 10:36:24 | NOT FOUND | {"payout":"0.5495378","racker_click_id":"","status":"open"}
2025-11-17 10:36:24 | NOT FOUND | {"payout":"0.3800538","racker_click_id":"","status":"open"}
2025-11-18 06:23:55 | NOT FOUND | {"payout":"4.2","tracker_click_id":"","status":"open"}
2025-11-18 06:23:57 | NOT FOUND | {"payout":"4.2","tracker_click_id":"","status":"open"}
2025-11-18 06:23:57 | NOT FOUND | {"payout":"4.2","tracker_click_id":"","status":"open"}
